epsilon,m,p_formula,p_numeric,p_block_diag,abs_error
0.545,0.5,1.0,1.0,0.5,0.0
0.5475,0.5,1.0,1.0,0.5,0.0
0.55,0.5,1.0,1.0,0.5,0.0
0.5525,0.5,1.0,1.0,0.5,0.0
0.555,0.5,1.0,1.0,0.5,0.0
0.5575,0.5,1.0,1.0,0.5,0.0
0.56,0.5,1.0,1.0,0.5,0.0
0.5625,0.5,1.0,1.0,0.5,0.0
0.5650000000000001,0.5,1.0,1.0,0.5,0.0
0.5675,0.5,1.0,1.0,0.5,0.0
0.5700000000000001,0.5,1.0,1.0,0.5,0.0
0.5725,0.5,1.0,1.0,0.5,0.0
0.5750000000000001,0.5,1.0,1.0,0.5,0.0
0.5775,0.5,1.0,1.0,0.5,0.0
0.58,0.5,1.0,1.0,0.5,0.0
0.5825,0.5,1.0,1.0,0.5,0.0
0.585,0.5,1.0,1.0,0.5,0.0
0.5875,0.5,1.0,1.0,0.5,0.0
0.59,0.5,1.0,1.0,0.5,0.0
0.5925,0.5,1.0,1.0,0.5,0.0
0.595,0.5,1.0,1.0,0.5,0.0
